width,height,majority_pct,density,alpha,beta,decay,vision,aversion,iteration,step_count,Avg_Maj_Grievance,Avg_Min_Grievance,Avg_Maj_Threshold,Overall_Violence_Level
80,80,0.7,0.7,0.05,0.1,0.9,1,0.4,1,50,0.0,0.0,0.9975246491615406,1.563721657544957e-05
80,80,0.7,0.7,0.05,0.0125,0.5,1,0.1,0,50,0.0,0.0,0.7798295143177713,0.0
80,80,0.7,0.7,0.05,0.0125,0.5,1,0.3,0,50,0.0,0.0,0.7810372332144048,0.0
80,80,0.7,0.7,0.05,0.05,0.8,1,0.5,1,50,0.0,0.0,0.966388107251354,1.5657048020166276e-05
80,80,0.7,0.7,0.05,0.05,0.6,1,0.1,0,50,0.0,0.0,0.9667325009360955,0.0
80,80,0.7,0.7,0.05,0.0125,0.5,1,0.5,1,50,0.0,0.0,0.7813088630445106,4.6910182636977736e-05
80,80,0.7,0.7,0.05,0.05,0.5,1,0.5,0,50,0.0,0.0,0.9653304169291541,0.0
80,80,0.7,0.7,0.05,0.05,0.5,1,0.3,0,50,0.0,0.0,0.9666324292901526,1.5627930236919424e-05
80,80,0.7,0.7,0.05,0.05,0.5,1,0.2,0,50,0.0,0.0,0.965942185726738,0.0
80,80,0.7,0.7,0.05,0.05,0.5,1,0.3,1,50,0.0,0.0,0.9661672957984538,3.1282259830450154e-05
80,80,0.7,0.7,0.05,0.05,0.5,1,0.2,1,50,0.0,0.0,0.9659322202491558,0.0
80,80,0.7,0.7,0.05,0.05,0.5,1,0.5,1,50,0.0,0.0,0.9660124886565169,0.0
80,80,0.7,0.7,0.05,0.05,0.6,1,0.5,1,50,0.0,0.0,0.9661345570341277,1.565484204264379e-05
80,80,0.7,0.7,0.05,0.05,0.5,1,0.1,0,50,0.0,0.0,0.9658005669964779,0.0
80,80,0.7,0.7,0.05,0.05,0.7,1,0.3,1,50,0.0,0.0,0.9658047298157644,4.690064879230829e-05
80,80,0.7,0.7,0.05,0.05,0.7,1,0.3,0,50,0.0,0.0,0.9664133349871925,1.5641619220421698e-05
80,80,0.7,0.7,0.05,0.05,0.6,1,0.2,1,50,0.0,0.0,0.9662164807264862,0.0
80,80,0.7,0.7,0.05,0.05,0.6,1,0.2,0,50,0.0,0.0,0.9659168927554647,1.562622079849988e-05
80,80,0.7,0.7,0.05,0.05,0.9,1,0.0,1,50,0.0,0.0,0.9668258563423805,0.0
80,80,0.7,0.7,0.05,0.05,0.8,1,0.0,0,50,0.0,0.0,0.9660902997645199,0.0
80,80,0.7,0.7,0.05,0.05,0.6,1,0.4,1,50,0.0,0.0,0.9659950384362087,1.5631105900742477e-05
80,80,0.7,0.7,0.05,0.05,0.7,1,0.2,0,50,0.0,0.0,0.9661144100284529,0.0
