RunId,iteration,Step,width,height,majority_pct,density,alpha,beta,decay,vision,Avg_Maj_Grievance,Avg_Min_Grievance,Avg_Maj_Threshold,Overall_Violence_Level
115,0,50,60,60,0.8,0.7,0.3,0.1,0.9,1,0.7261960996793734,0.8745898807984747,0.1755408950209274,0.68656299729194
117,0,50,60,60,0.8,0.7,0.3,0.2,0.9,1,0.0,0.0,0.9999868686631077,0.00011142061281337047
116,0,50,60,60,0.8,0.7,0.3,0.2,0.8,1,0.0,0.0,0.9999814839713106,0.00011151690875128941
118,0,50,60,60,0.8,0.7,0.3,0.3,0.8,1,0.0,0.0,0.9999999694134016,0.0
119,0,50,60,60,0.8,0.7,0.3,0.3,0.9,1,0.0,0.0,0.9999999408189635,5.58909009613235e-05
120,0,50,60,60,0.8,0.7,0.4,0.05,0.8,1,0.6591432838941783,0.9093831178707249,0.0379659916194867,0.810444170955471
121,0,50,60,60,0.8,0.7,0.4,0.05,0.9,1,0.8412340892419756,0.9563688212927707,0.01447873421918947,0.9156855086211707
122,0,50,60,60,0.8,0.7,0.4,0.1,0.8,1,0.5714714579488358,0.8255543726235766,0.163273909107576,0.6399721448467967
123,0,50,60,60,0.8,0.7,0.4,0.1,0.9,1,0.8345956755815506,0.9506083650190065,0.028855636964045927,0.9059131548895636
124,0,50,60,60,0.8,0.7,0.4,0.2,0.8,1,0.0,0.0,0.9992873462891806,0.0010867445035806838
126,0,50,60,60,0.8,0.7,0.4,0.3,0.8,1,0.0,0.0,0.9999999658423103,0.0
125,0,50,60,60,0.8,0.7,0.4,0.2,0.9,1,0.27734757017806316,0.3550990494296583,0.6835431756400584,0.2361729356777209
127,0,50,60,60,0.8,0.7,0.4,0.3,0.9,1,0.0,0.0,0.9999899412553317,0.0003905487209529389
